my,phi,v0,v1,v2,v3,v4
0.16,2.38761,0.282095,-0.330162,0.0781764,0.351587,-0
0.16,2.51327,0.282095,-0.283493,0.0781764,0.390195,-0
0.16,2.63894,0.282095,-0.232354,0.0781764,0.42265,-0
0.16,2.7646,0.282095,-0.177549,0.0781764,0.448439,-0
0.16,2.89027,0.282095,-0.119945,0.0781764,0.467155,-0
0.16,3.01593,0.282095,-0.0604492,0.0781764,0.478505,-0
0.16,3.14159,0.282095,1.55122e-16,0.0781764,0.482308,0
0.16,3.26726,0.282095,0.0604492,0.0781764,0.478505,0
0.16,3.39292,0.282095,0.119945,0.0781764,0.467155,0
0.16,3.51858,0.282095,0.177549,0.0781764,0.448439,0
0.16,3.64425,0.282095,0.232354,0.0781764,0.42265,0
0.16,3.76991,0.282095,0.283493,0.0781764,0.390195,0
0.16,3.89557,0.282095,0.330162,0.0781764,0.351587,0
0.16,4.02124,0.282095,0.371625,0.0781764,0.307435,0
0.16,4.1469,0.282095,0.407226,0.0781764,0.258433,0
0.16,4.27257,0.282095,0.436405,0.0781764,0.205357,0
0.16,4.39823,0.282095,0.458702,0.0781764,0.149041,0
0.16,4.52389,0.282095,0.473765,0.0781764,0.0903755,0
0.16,4.64956,0.282095,0.481356,0.0781764,0.0302844,0
0.16,4.77522,0.282095,0.481356,0.0781764,-0.0302844,-0
0.16,4.90088,0.282095,0.473765,0.0781764,-0.0903755,-0
0.16,5.02655,0.282095,0.458702,0.0781764,-0.149041,-0
0.16,5.15221,0.282095,0.436405,0.0781764,-0.205357,-0
0.16,5.27788,0.282095,0.407226,0.0781764,-0.258433,-0
0.16,5.40354,0.282095,0.371625,0.0781764,-0.307435,-0
0.16,5.5292,0.282095,0.330162,0.0781764,-0.351587,-0
0.16,5.65487,0.282095,0.283493,0.0781764,-0.390195,-0
0.16,5.78053,0.282095,0.232354,0.0781764,-0.42265,-0
0.16,5.90619,0.282095,0.177549,0.0781764,-0.448439,-0
0.16,6.03186,0.282095,0.119945,0.0781764,-0.467155,-0
0.16,6.15752,0.282095,0.0604492,0.0781764,-0.478505,-0
0.2,0,0.282095,-0,0.0977205,-0.478731,0
0.2,0.125664,0.282095,-0.0600009,0.0977205,-0.474956,0
0.2,0.251327,0.282095,-0.119055,0.0977205,-0.463691,0
0.2,0.376991,0.282095,-0.176233,0.0977205,-0.445113,0
0.2,0.502655,0.282095,-0.23063,0.0977205,-0.419515,0
0.2,0.628319,0.282095,-0.281391,0.0977205,-0.387301,0
0.2,0.753982,0.282095,-0.327714,0.0977205,-0.34898,0
0.2,0.879646,0.282095,-0.368868,0.0977205,-0.305154,0
0.2,1.00531,0.282095,-0.404206,0.0977205,-0.256517,0
0.2,1.13097,0.282095,-0.433169,0.0977205,-0.203834,0
0.2,1.25664,0.282095,-0.4553,0.0977205,-0.147936,0
0.2,1.3823,0.282095,-0.470251,0.0977205,-0.0897052,0
0.2,1.50796,0.282095,-0.477786,0.0977205,-0.0300598,0
0.2,1.63363,0.282095,-0.477786,0.0977205,0.0300598,-0
0.2,1.75929,0.282095,-0.470251,0.0977205,0.0897052,-0
0.2,1.88496,0.282095,-0.4553,0.0977205,0.147936,-0
0.2,2.01062,0.282095,-0.433169,0.0977205,0.203834,-0
0.2,2.13628,0.282095,-0.404206,0.0977205,0.256517,-0
0.2,2.26195,0.282095,-0.368868,0.0977205,0.305154,-0
0.2,2.38761,0.282095,-0.327714,0.0977205,0.34898,-0
0.2,2.51327,0.282095,-0.281391,0.0977205,0.387301,-0
0.2,2.63894,0.282095,-0.23063,0.0977205,0.419515,-0
0.2,2.7646,0.282095,-0.176233,0.0977205,0.445113,-0
0.2,2.89027,0.282095,-0.119055,0.0977205,0.463691,-0
0.2,3.01593,0.282095,-0.0600009,0.0977205,0.474956,-0
0.2,3.14159,0.282095,1.53972e-16,0.0977205,0.478731,0
0.2,3.26726,0.282095,0.0600009,0.0977205,0.474956,0
0.2,3.39292,0.282095,0.119055,0.0977205,0.463691,0
0.2,3.51858,0.282095,0.176233,0.0977205,0.445113,0
0.2,3.64425,0.282095,0.23063,0.0977205,0.419515,0
0.2,3.76991,0.282095,0.281391,0.0977205,0.387301,0
0.2,3.89557,0.282095,0.327714,0.0977205,0.34898,0
0.2,4.02124,0.282095,0.368868,0.0977205,0.305154,0
0.2,4.1469,0.282095,0.404206,0.0977205,0.256517,0
0.2,4.27257,0.282095,0.433169,0.0977205,0.203834,0
0.2,4.39823,0.282095,0.4553,0.0977205,0.147936,0
0.2,4.52389,0.282095,0.470251,0.0977205,0.0897052,0
0.2,4.64956,0.282095,0.477786,0.0977205,0.0300598,0
0.2,4.77522,0.282095,0.477786,0.0977205,-0.0300598,-0
0.2,4.90088,0.282095,0.470251,0.0977205,-0.0897052,-0
0.2,5.02655,0.282095,0.4553,0.0977205,-0.147936,-0
0.2,5.15221,0.282095,0.433169,0.0977205,-0.203834,-0
0.2,5.27788,0.282095,0.404206,0.0977205,-0.256517,-0
0.2,5.40354,0.282095,0.368868,0.0977205,-0.305154,-0
0.2,5.5292,0.282095,0.327714,0.0977205,-0.34898,-0
